Hour,Fatals,Peds,Persons,TotalVehicles
00,290,80,561,383
01,248,90,505,332
02,209,70,407,266
03,181,51,292,207
04,144,35,263,176
05,138,38,238,164
06,124,23,230,145
07,137,27,218,158
08,98,18,163,122
09,119,28,202,167
10,129,32,208,171
11,159,19,322,234
12,139,15,311,223
13,128,15,283,209
14,135,9,309,222
15,145,8,360,243
16,181,18,381,275
17,194,17,440,310
18,207,7,509,320
19,232,10,532,373
20,245,13,569,385
21,225,24,550,357
22,237,30,515,359
23,248,74,489,357
