Month,Fatals,Peds,Persons,TotalVehicles
01,323,56,658,464
02,328,52,669,463
03,347,58,676,488
04,357,47,760,519
05,363,68,778,536
06,392,54,832,569
07,344,60,692,478
08,334,67,682,481
09,371,54,788,534
10,438,92,861,617
11,372,72,753,535
12,323,71,708,474
